Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage
DE MAGALLANES Y DE LA ANTARTICA CHILENA,TOTAL,517,158483,70036,44.19
DE MAGALLANES Y DE LA ANTARTICA CHILENA,ANTARTICA,1,233,47,20.17
DE MAGALLANES Y DE LA ANTARTICA CHILENA,CABO DE HORNOS(EX-NAVARINO),6,1862,878,47.15
DE MAGALLANES Y DE LA ANTARTICA CHILENA,LAGUNA BLANCA,3,822,306,37.23
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,69,22672,8281,36.53
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PORVENIR,20,6108,2326,38.08
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PRIMAVERA,4,1229,313,25.47
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PUNTA ARENAS,400,121724,56597,46.5
DE MAGALLANES Y DE LA ANTARTICA CHILENA,RIO VERDE,3,750,258,34.4
DE MAGALLANES Y DE LA ANTARTICA CHILENA,SAN GREGORIO,2,715,249,34.83
DE MAGALLANES Y DE LA ANTARTICA CHILENA,TIMAUKEL,3,734,171,23.3
DE MAGALLANES Y DE LA ANTARTICA CHILENA,TORRES DEL PAINE,6,1634,610,37.33
